,Column 1,,Column 2,,Column 3,,Column 4,,Column 5,,Column 6,,Column 7,,Column 8,,Column 9,,Column 10,,Column 11,,Column 12,,Column 13,,Column 14,,Column 15,,Column 16,,Column 17,,Column 18,,Column 19,,Column 20,,Column 21,,Column 22,,Column 23,,Column 24,
Row,𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms),𝑉𝑝 (V),τ (ms)
A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
